soupe/VER:pres  souper
chinois/ADJ  chinois
marc/NOM  marc
(/PUN  (
poivre/NOM  poivre
ajoutez/VER:pres  ajouter
unités/NOM  unités
risotto/NOM  risotto
vidéo/NOM  vidéo
newsletter/NOM  newsletter
machine/NOM  machine
que/PRO:REL  que
Utilisez/ABR  Utilisez
>>/PUN:cit  >>
par/PRP  par
08/07/2012/NUM  08/07/2012
plus/ADV  plus
d/VER:subi  d
Marmiton/NAM  Marmiton
revenir/VER:infi  revenir
Alerter/NAM  Alerter
ce/PRO:DEM  ce
nos/DET:POS  notre
etc/ABR  etc
réservés/ADJ  réservés
goût/NOM  goût
assez/ADV  assez
faite/VER:pper  faire
moment/NOM  moment
flambees/NOM  flambees
